agent_name	source_repo	file_path	file_size	line_count
performance-engineer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/quality-assurance/performance-engineer.md	5673	94
qa-automation	rohitg00-toolkit	sources/rohitg00-toolkit/agents/quality-assurance/qa-automation.md	5139	71
security-auditor	rohitg00-toolkit	sources/rohitg00-toolkit/agents/quality-assurance/security-auditor.md	6039	104
test-architect	rohitg00-toolkit	sources/rohitg00-toolkit/agents/quality-assurance/test-architect.md	5410	91
academic-researcher	rohitg00-toolkit	sources/rohitg00-toolkit/agents/research-analysis/academic-researcher.md	6387	40
benchmarking-specialist	rohitg00-toolkit	sources/rohitg00-toolkit/agents/research-analysis/benchmarking-specialist.md	6358	40
competitive-analyst	rohitg00-toolkit	sources/rohitg00-toolkit/agents/research-analysis/competitive-analyst.md	4213	40
data-researcher	rohitg00-toolkit	sources/rohitg00-toolkit/agents/research-analysis/data-researcher.md	4350	40
market-researcher	rohitg00-toolkit	sources/rohitg00-toolkit/agents/research-analysis/market-researcher.md	6280	40
patent-analyst	rohitg00-toolkit	sources/rohitg00-toolkit/agents/research-analysis/patent-analyst.md	6185	40
research-analyst	rohitg00-toolkit	sources/rohitg00-toolkit/agents/research-analysis/research-analyst.md	4112	40
search-specialist	rohitg00-toolkit	sources/rohitg00-toolkit/agents/research-analysis/search-specialist.md	4271	40
security-researcher	rohitg00-toolkit	sources/rohitg00-toolkit/agents/research-analysis/security-researcher.md	6225	40
technology-scout	rohitg00-toolkit	sources/rohitg00-toolkit/agents/research-analysis/technology-scout.md	6678	40
trend-analyst	rohitg00-toolkit	sources/rohitg00-toolkit/agents/research-analysis/trend-analyst.md	4424	40
blockchain-developer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/specialized-domains/blockchain-developer.md	3734	40
e-commerce-engineer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/specialized-domains/e-commerce-engineer.md	4325	40
education-tech	rohitg00-toolkit	sources/rohitg00-toolkit/agents/specialized-domains/education-tech.md	6063	40
embedded-systems	rohitg00-toolkit	sources/rohitg00-toolkit/agents/specialized-domains/embedded-systems.md	3853	40
fintech-engineer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/specialized-domains/fintech-engineer.md	4127	40
game-developer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/specialized-domains/game-developer.md	3895	40
geospatial-engineer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/specialized-domains/geospatial-engineer.md	5752	40
healthcare-engineer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/specialized-domains/healthcare-engineer.md	5432	40
